,user,date,renderedContent
1609,bola_MKS,2013-07-03 05:59:55+00:00,"vivanews: Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/C19l8PKdXN"
1610,beritakota,2013-07-03 05:59:55+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/izTIZsI79d"
1611,MarlonJulian96,2013-07-03 05:59:38+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon."
1612,ssandywahyu,2013-07-03 05:59:21+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/NPJlrPGyO9 #wahyujunior™"
1613,sacrifaced,2013-07-03 05:59:16+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/SHq3N89UqP"
1614,kabimz,2013-07-03 05:59:12+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/Mc8AHoOJEz"
1615,Valdes_ID,2013-07-03 05:59:02+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/2ijhRBaGoZ"
1616,pengagumygindah,2013-07-03 05:58:46+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/hIXFrqcBMg"
1617,papforfun,2013-07-03 05:58:42+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/CWcCMVUmGI"
1618,RealzSyahril,2013-07-03 05:58:37+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/Jo64QIZP2L"
1619,SahabatBerita,2013-07-03 05:58:35+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/UAwvQsJ5Ov"
1620,RizkyMocin09,2013-07-03 05:58:33+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/lneI1bK1lM"
1621,IndoBALL,2013-07-03 05:58:33+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/cmcM8S4dqF"
1622,Tukang_Update,2013-07-03 05:58:32+00:00,"#News: Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/iD8nXN4EGr"
1623,agilmakkai,2013-07-03 05:58:29+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/dUUrUukvDK"
1624,ContactCND,2013-07-03 05:58:29+00:00,"[Viva News] Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" ... http://t.co/nmtWG9Hy2l #CNDContact"
1625,jerukpontianak,2013-07-03 05:58:28+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/SPFe2zKFIk"
1626,Rivaloscar25,2013-07-03 05:58:27+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/5XFiVB8QYu"
1627,dprayr,2013-07-03 05:58:24+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/ZmpSPw2wAm"
1628,SalmanAlwii,2013-07-03 05:58:19+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/k966nOJg87"
1629,FCBarcelona_lD,2013-07-03 05:58:18+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/8xhQibx8hK"
1630,nandowb,2013-07-03 05:58:18+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/S5y7P9CqL5"
1631,jokongabdul,2013-07-03 05:58:16+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/aogtyK4GqH"
1632,tyaaseptyani,2013-07-03 05:58:16+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/xPca7uD7K4"
1633,ryan_gukguk,2013-07-03 05:58:15+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/6Jsxlumyir"
1634,KataMirza,2013-07-03 05:58:14+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/Pmr28LlEYb"
1635,AgungNugrahaa_,2013-07-03 05:58:14+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/r7Dxk2nU9A"
1636,kdidixu,2013-07-03 05:58:13+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/1EcRFc4hau"
1637,akuganteng33,2013-07-03 05:58:11+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/pATYqPWTy3"
1638,Arpidramdani43,2013-07-03 05:58:11+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/SxnmwPeu2O"
1639,Saber__mlbb,2013-07-03 05:58:07+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/7ptDrmO7nW"
1640,ddprs,2013-07-03 05:58:05+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/kCTLwP1zka"
1641,ajikhusnul08,2013-07-03 05:58:04+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/FQIacFXqr9"
1642,GolPialaDunia,2013-07-03 05:58:03+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/B8oBkJOu6h"
